Date,portfolio_nav,benchmark_nav,COWZ_weight,QQQ_weight,VYMI_weight,QLEIX_weight,BOND_weight,vix_slope,event
2017-01-03,100000.0,100000.0,0.35,0.35,0.15,0.1,0.05,2.7100000381469727,initial
2017-01-04,100893.16433212526,100594.9394852721,0.35246970679884443,0.34878785937371215,0.15017965436212918,0.09903867956000142,0.04952409990531282,2.989999771118164,
2017-01-05,100975.96418855256,100514.99082394072,0.349398832447596,0.350473603030791,0.15151085314717938,0.09903346880973561,0.04958324256469808,3.0299997329711914,
2017-01-06,101333.62456279102,100874.62286134201,0.3496902543945018,0.35229934776267535,0.15017385709082812,0.09845672248033899,0.04937981827165567,3.2400007247924805,
2017-01-09,101257.91607080447,100541.66646125879,0.3487033191899464,0.35371940886732056,0.1498717688000712,0.09822715824654929,0.04947834489611251,3.0699996948242188,
2017-01-10,101477.40161577183,100541.66646125879,0.3484752598940226,0.35373329461657593,0.14996108504243616,0.09839285777116315,0.04943750267580216,3.1700000762939453,
2017-01-11,101545.61356699637,100825.78664764238,0.3467057689958412,0.3544471932495257,0.15079003499055008,0.09862908301265923,0.04942791975142382,3.2100000381469727,
2017-01-12,101566.46635418531,100572.71630839228,0.3472293010942177,0.3538266508370554,0.15112053051243965,0.09838213468250842,0.04944138287377893,3.0399999618530273,
2017-01-13,101823.12161288565,100803.60259607396,0.3473195655702022,0.354142553844701,0.15094566568836312,0.09836027997793445,0.04923193491879925,3.310000419616699,
2017-01-17,101622.19571077774,100448.40736898636,0.34786799045074773,0.35377673218093264,0.15103765639350863,0.09787504861546546,0.04944257235934554,3.020000457763672,
2017-01-18,101630.33297404982,100670.4122109784,0.3480889073098522,0.3544686396683154,0.15012245168312788,0.09801824194283265,0.04930175939587186,2.4600000381469727,
2017-01-19,101403.26422540018,100297.48539276062,0.34737260005280474,0.35508910070988436,0.1500965505077531,0.09816205044582424,0.04927969828373356,2.2400007247924805,
2017-01-20,101711.14257399841,100665.97540066471,0.34759141846492736,0.35479152286320076,0.15028677318164937,0.09816674251696322,0.04916354297325925,2.9499998092651367,
2017-01-23,101699.60171834954,100404.01579066268,0.3462222230608534,0.3551196863695396,0.15105164250969022,0.09817788246427635,0.04942856559564043,2.7699995040893555,
2017-01-24,102403.57494570268,101047.79148963442,0.34732586152102873,0.3550514561908376,0.15057661943671244,0.09802758320335922,0.04901847964806191,2.8000001907348633,
2017-01-25,103173.95402347941,101922.35957554045,0.34646123672015966,0.35594762447240164,0.15120608191032095,0.09789068260717748,0.04849437428994037,2.799999237060547,
2017-01-26,102946.69319070852,101815.83700270067,0.345029628655658,0.35710315883458854,0.1509539443633695,0.09825588815394226,0.04865737999244168,3.0,
2017-01-27,102818.03943494595,101656.01793066072,0.3438220491401985,0.3582335155726226,0.15063277580856857,0.09845347232365137,0.048858187154958946,3.1000003814697266,
2017-01-30,102175.70033076454,101025.58396287916,0.3439217612603914,0.3576773372899473,0.15021945754255725,0.09899730306931755,0.04918414083778648,2.5299997329711914,
2017-01-31,102338.27799141686,101016.67904200267,0.3452830316402249,0.356393822846,0.15072391933191387,0.09839008504540324,0.049209141136458044,2.489999771118164,
2017-02-01,102525.15773951859,101056.66511026179,0.3432974156058858,0.35820012035862214,0.1507561849353053,0.09873472251170885,0.049011556588477855,2.479999542236328,
2017-02-02,102637.38689460962,101123.25639027843,0.34456413431397137,0.35749473257698183,0.15041244158736228,0.09855199043941851,0.04897670108226602,2.6599998474121094,
2017-02-03,103066.76943755994,101820.26598795207,0.34517266015922404,0.357027988804038,0.15039650350322925,0.09858819180177508,0.048814655731733596,3.0799999237060547,
2017-02-06,102961.4304030415,101638.23938915686,0.34498024341616823,0.3578199484467297,0.14950605158127112,0.09868905661006946,0.049004699945761544,2.869999885559082,
2017-02-07,103012.82422610739,101642.70749971968,0.34426274876636176,0.35894875197155635,0.14907506829553063,0.0986398199451002,0.049073611021451066,3.060000419616699,
2017-02-08,103278.86722077057,101775.89005975296,0.34473581866393604,0.35861949039348057,0.14942743554599977,0.09808848121989543,0.04912877417668823,3.1100006103515625,
2017-02-09,103704.82754240473,102379.67969046558,0.3456221679345376,0.3584452451528381,0.14954701384123242,0.09761158896620654,0.048773984105185395,3.2899999618530273,
2017-02-10,104139.10774698676,102783.67200594142,0.346338758555438,0.35813124352272,0.14946474979833368,0.09749930545746238,0.048565942666046025,3.059999465942383,
2017-02-13,104734.46573771471,103343.09353351721,0.34691794509036933,0.3581082594759185,0.14925359802660906,0.0975313046774669,0.04818889272963616,2.6100006103515625,
2017-02-14,104872.61287554805,103756.0064199941,0.3467286876281255,0.3588369802945621,0.14900696004455638,0.09740282813606203,0.048024543896694,2.4499998092651367,
2017-02-15,105491.60470298502,104297.64940606605,0.34709071073065634,0.35884078929325286,0.14922642656502758,0.09719504965383663,0.047647023757226646,1.4399995803833008,
2017-02-16,105506.7035572085,104208.85059929414,0.3469079623728608,0.3586784715558325,0.14910564327890197,0.09761758325924759,0.047690339533157246,1.869999885559082,
2017-02-17,105608.215698742,104373.08300646092,0.34697347806974943,0.3598863025978605,0.14831674448831617,0.09701506863089325,0.047808406213180686,2.2300004959106445,
2017-02-21,106184.13114939933,104994.67465386425,0.34800147435974954,0.3596990177169717,0.14803093003459,0.0966334222827387,0.04763515560595001,2.4700002670288086,
2017-02-22,106169.84461953823,104901.45468690322,0.34725467699853224,0.3598853433516144,0.14817432351444662,0.09700785996072932,0.047677796174677406,2.65000057220459,
2017-02-23,106083.01395501466,104972.47495217127,0.34806841719129455,0.35882742770491804,0.14834506420642285,0.0969425646026708,0.04781652629469377,3.0299997329711914,
2017-02-24,106142.68507097382,105105.67316232913,0.3491960505889906,0.35931545173649526,0.14682869970859025,0.09681577174667051,0.04784402621925334,3.2899999618530273,
2017-02-27,106366.5447307022,105269.92904468275,0.35030972033975083,0.35899961690204324,0.1464210453634211,0.0965398638123672,0.04772975358241762,2.8199996948242188,
2017-02-28,105908.5786550065,104985.76190792547,0.34877430086402006,0.3594461047625504,0.14673230057146527,0.09717469342139651,0.047872600380567766,2.359999656677246,
2017-03-01,106783.44061585367,106455.33990466414,0.34788985018177115,0.3603947523438522,0.14700370070630847,0.09738475282605545,0.047326943942012624,2.3199996948242188,
2017-03-02,106314.4753781367,105784.94334381032,0.34810335090693995,0.36016678371052907,0.1467640996624366,0.09759776817682597,0.04736799754326838,2.9600000381469727,
2017-03-03,106446.6554478881,105851.53462382696,0.34701128298000294,0.36037979092651756,0.14768804618918735,0.09762076538624198,0.04730011451805016,3.3000001907348633,
2017-03-06,106060.03382022807,105536.3098148739,0.34606475999336456,0.3608929935201182,0.14756129619880282,0.09797662327019306,0.047504327017521344,3.1000003814697266,
2017-03-07,105673.87407493345,105221.1006560454,0.34449837403217504,0.36160214605152236,0.1477282936878144,0.098552542402584,0.047618643825904146,2.9600000381469727,
2017-03-08,105676.35736831916,105025.74797618459,0.3444239686363727,0.3622308346677967,0.14700516261489793,0.09876810129324971,0.04757193278768298,2.6800003051757812,
2017-03-09,105455.21274615795,105158.94618634244,0.34308178141715145,0.3632681662900194,0.14736312214086603,0.09875689104799261,0.047530039103970446,2.479999542236328,
2017-03-10,105840.36326628643,105527.4518443711,0.34262959328926096,0.3634676968741497,0.14796668627624768,0.09854253948423251,0.04739348407610917,2.7200002670288086,
2017-03-13,105996.36961709571,105580.70139319757,0.34178078538225093,0.36354046404961593,0.1488127151657057,0.09854230545591301,0.04732372994651434,3.0099992752075195,
2017-03-14,105642.94990270451,105176.6777774726,0.34207331716688055,0.36386977061142517,0.14782113161054736,0.0987993347257771,0.04743644588536979,2.3299999237060547,
2017-03-15,106687.39125832253,106086.83424663548,0.34288446620340013,0.3625305463009334,0.14897947332507244,0.09840759214931115,0.047197922021282875,2.5699996948242188,
2017-03-16,106603.83888237948,105878.16331077134,0.34188839499169255,0.3625674781388979,0.1499326491153543,0.09841273230396762,0.04719874545008763,2.5699996948242188,
2017-03-17,106635.47173291504,105692.24765602217,0.34191879449072715,0.36233333941433554,0.1501340832363299,0.09831156458051957,0.04730221827808776,2.640000343322754,
2017-03-20,106553.73841198976,105576.3037081953,0.3413637965978043,0.36294183088339094,0.15012618877722236,0.0981708948789637,0.047397288862618715,2.559999465942383,
2017-03-21,105153.52790844347,104220.76034408677,0.33952489483565873,0.3621942462797182,0.15115262108875546,0.09904022397311273,0.04808801382275492,2.1499996185302734,
2017-03-22,105654.50752421543,104465.99779599297,0.3395235328682495,0.36292058225017304,0.15089788040256966,0.0987158846375115,0.04794211984149621,1.869999885559082,
2017-03-23,105626.97763765289,104354.5297837912,0.3400773235588591,0.3620985115325096,0.1508373130516701,0.09903223671217867,0.047954615144782574,1.7899999618530273,
2017-03-24,105638.35263188509,104278.72058040679,0.33929615927828066,0.36280935927814756,0.1512456678942538,0.09865832743387133,0.047990486115446644,1.5900001525878906,
2017-03-27,105778.49944599203,104171.71285370554,0.33964330609364707,0.36291119211679124,0.15139440374907462,0.09809229263168008,0.04795880540880708,1.7299995422363281,
2017-03-28,106454.91562646485,104929.71881186446,0.34081678201332355,0.36281015330231897,0.1509529006970313,0.09782947921501296,0.047590684772313194,2.15000057220459,
2017-03-29,106774.5076299638,105027.83726781378,0.3415100065799831,0.3634003267108014,0.15051344957786855,0.09710540019358078,0.04747081693776615,2.010000228881836,
2017-03-30,107007.9790272782,105362.2413044191,0.3421722042161237,0.36321054184493246,0.1497782141720522,0.09746729422424481,0.047371745542646906,1.8299999237060547,
2017-03-31,106923.41457044997,105117.02732769976,0.35,0.35,0.15000000000000002,0.10000000000000002,0.05000000000000001,1.2300004959106445,rebalance
2017-04-03,106618.19340843314,104934.20257255183,0.3483739515063928,0.3507897781634238,0.1501561406339756,0.10036044760215289,0.050319682094054845,1.2899999618530273,
2017-04-04,106589.77291636317,105001.07555481061,0.34765810271838166,0.3514403325012159,0.15024589147007483,0.10031301469639926,0.05034265861392834,1.5799999237060547,
2017-04-05,106212.82827041221,104688.94164545879,0.34753916461977863,0.3512502954060098,0.15013079389947517,0.10052009482161448,0.050559651253121875,1.2299995422363281,
2017-04-06,106368.91360652856,104983.24223787079,0.34851488368201783,0.35092087413255013,0.14983576662961517,0.10022389162001802,0.0505045839357988,1.2699995040893555,
2017-04-07,106385.81899835897,104876.25798635639,0.34913489119016544,0.3506791380387414,0.14948838917789573,0.10028231489459505,0.05041526669860233,1.1900005340576172,
2017-04-10,106416.99284202434,104938.65503299008,0.3493027349744686,0.35070931604856553,0.14951922113032431,0.10002998461839231,0.05043874322824922,0.5299997329711914,
2017-04-11,106248.60115014695,104813.79051416216,0.348842132953036,0.3497484370171483,0.15035442719768558,0.1004118274087797,0.050643175423350374,0.09000015258789062,
